user_id,event_date,event_name,channel,signup_date
u_04053,2025-04-17,quote_generated,organic,2025-02-15
u_03440,2025-09-06,quote_generated,organic,2025-05-03
u_00340,2025-04-15,quote_generated,organic,2025-03-22
u_01425,2025-05-24,case_opened,content,2025-05-07
u_01887,2025-04-12,client_message_sent,content,2025-04-04
u_02997,2025-06-18,client_message_sent,paid_social,2025-05-23
u_02669,2025-03-07,quote_generated,paid_social,2025-01-25
u_03970,2025-07-08,client_message_sent,organic,2025-06-27
u_02000,2025-06-06,case_opened,paid_social,2025-05-24
u_04957,2025-04-09,document_uploaded,referral,2025-04-06
u_05932,2025-08-16,quote_generated,referral,2025-01-18
u_02635,2025-03-10,case_opened,organic,2025-02-13
u_02303,2025-03-17,case_opened,paid_social,2025-03-07
u_01861,2025-06-18,client_message_sent,organic,2025-03-18
u_01617,2025-05-07,client_message_sent,organic,2025-04-21
u_02509,2025-07-26,case_opened,organic,2025-02-07
u_05819,2025-05-23,client_message_sent,organic,2025-02-11
u_05780,2025-03-04,case_opened,organic,2025-02-14
u_00641,2025-06-01,teammate_invited,paid_social,2025-06-01
u_03128,2025-05-14,case_opened,organic,2025-05-06
u_01514,2025-09-01,client_message_sent,organic,2025-05-19
u_03686,2025-04-18,client_message_sent,content,2025-04-11
u_03147,2025-04-18,case_opened,content,2025-04-14
u_05789,2025-03-04,case_opened,referral,2025-02-09
u_01450,2025-01-10,case_opened,content,2025-01-02
u_04236,2025-04-03,document_uploaded,organic,2025-03-10
u_04431,2025-07-05,quote_generated,content,2025-06-19
u_05905,2025-04-17,document_uploaded,organic,2025-04-13
u_04590,2025-06-27,client_message_sent,organic,2025-01-20
u_02139,2025-03-26,document_uploaded,content,2025-01-16
u_05457,2025-05-09,document_uploaded,referral,2025-01-26
u_03230,2025-03-18,document_uploaded,referral,2025-02-26
u_05416,2025-06-27,case_opened,paid_social,2025-06-05
u_04548,2025-03-10,client_message_sent,organic,2025-02-17
u_02746,2025-06-09,client_message_sent,content,2025-06-08
u_02598,2025-03-07,client_message_sent,paid_social,2025-03-05
u_04222,2025-02-17,client_message_sent,content,2025-01-12
u_05974,2025-05-06,quote_generated,organic,2025-04-09
u_03587,2025-03-26,teammate_invited,content,2025-03-25
u_02514,2025-03-03,document_uploaded,organic,2025-02-16
u_03906,2025-05-13,client_message_sent,organic,2025-04-02
u_05995,2025-05-15,client_message_sent,content,2025-04-22
u_05097,2025-07-18,document_uploaded,paid_social,2025-03-15
u_01191,2025-09-14,case_opened,paid_social,2025-04-21
u_00323,2025-04-30,quote_generated,content,2025-04-16
u_05307,2025-06-10,client_message_sent,paid_social,2025-05-22
u_01030,2025-03-17,document_uploaded,organic,2025-02-10
u_02521,2025-08-21,document_uploaded,paid_social,2025-06-28
u_01217,2025-04-18,client_message_sent,organic,2025-02-06
u_03264,2025-06-21,quote_generated,organic,2025-06-02
u_03470,2025-05-13,case_opened,referral,2025-05-09
u_02643,2025-03-21,client_message_sent,content,2025-03-18
u_01376,2025-02-07,client_message_sent,organic,2025-01-13
u_03002,2025-05-24,case_opened,content,2025-04-25
u_04672,2025-07-18,case_opened,paid_social,2025-05-14
u_00910,2025-04-09,case_opened,organic,2025-03-26
u_01529,2025-04-23,case_opened,paid_social,2025-03-28
u_04197,2025-03-20,case_opened,content,2025-03-19
u_02929,2025-06-12,teammate_invited,organic,2025-06-06
u_05215,2025-04-04,document_uploaded,organic,2025-03-14
u_04573,2025-01-28,case_opened,referral,2025-01-20
